DEVICEID,DEVICENAME,DEVICETYPE,MANUFACTURER,MODELNUMBER,SERIALNUMBER,MANUFACTURINGDATE,EXPIRATIONDATE,DEVICESTATUS,DEVICEVERSION,SOFTWAREVERSION,REGULATORYAPPROVAL,APPROVALDATE,LASTMAINTENANCEDATE,NEXTMAINTENANCEDATE,WARRANTYSTARTDATE,WARRANTYENDDATE,PURCHASEDATE,PURCHASEPRICE,BUSINESSUNIT
1,GloboMedic 5000,Heart Monitor,MediHealth,GM5000,GH123456,2022-05-15,2025-05-15,Active,2.1,3.0,FDA,2022-04-20,2023-04-20,2024-04-20,2022-05-15,2025-05-15,2022-04-20,2500.00,Cardiovascular Devices
2,roScan Plus,Dialysis Machine,RenalTech,NSP1000,RNT789012,2022-06-20,2026-06-20,Active,1.5,2.0,CE Mark,2022-06-01,2023-06-01,2024-06-01,2022-06-20,2026-06-20,2022-06-01,5000.00,Renal Care
3,NeuroSync Pro,Neurostimulator,NeuroLife Inc.,NSP2000,NL456789,2022-07-10,2027-07-10,Active,3.0,3.5,FDA,2022-07-01,2023-07-01,2024-07-01,2022-07-10,2027-07-10,2022-07-01,7500.00,Neuromodulation
4,ApexCore 3000,Surgical Robot,SurgiTech,SBX3000,ST234567,2022-08-15,2028-08-15,Active,2.0,2.5,FDA,2022-08-01,2023-08-01,2024-08-01,2022-08-15,2028-08-15,2022-08-01,10000.00,Medical-Surgical Solutions
5,OrthoFlex 2000,Joint Implant,OrthoTech,OF2000,OT123456,2022-09-20,2029-09-20,Active,1.8,2.2,CE Mark,2022-09-01,2023-09-01,2024-09-01,2022-09-20,2029-09-20,2022-09-01,6000.00,Orthopedics
6,QuantumNova X5,Vascular Scanner,VascuTech,VSU4000,VT789012,2022-10-25,2028-10-25,Active,1.5,2.0,FDA,2022-10-01,2023-10-01,2024-10-01,2022-10-25,2028-10-25,2022-10-01,4500.00,Vascular Therapy
7,MediScan Pro,Diagnostic Imaging,MediTech,MDP500,MT567890,2022-11-05,2027-11-05,Active,2.2,3.0,FDA,2022-11-01,2023-11-01,2024-11-01,2022-11-05,2027-11-05,2022-11-01,8500.00,Diagnostic Imaging
8,EndoView 3000,Endoscopy,EndoTech,EV3000,ET234567,2022-12-10,2028-12-10,Active,1.0,1.5,CE Mark,2022-12-01,2023-12-01,2024-12-01,2022-12-10,2028-12-10,2022-12-01,7000.00,Endoscopy
9,NeoSync 7G,Patient Monitor,CareTech,CCP1000,CT123456,2023-01-15,2029-01-15,Active,2.5,3.0,FDA,2023-01-01,2024-01-01,2025-01-01,2023-01-15,2029-01-15,2023-01-01,9500.00,Critical Care
10,VitaFlex 6000,Insulin Pump,VitaLife,VF6000,VL567890,2023-02-20,2028-02-20,Active,1.8,2.2,CE Mark,2023-02-01,2024-02-01,2025-02-01,2023-02-20,2028-02-20,2023-02-01,3000.00,Diabetes Care
11,NanoGlow 4.2,Bone Scanner,OrthoScan,OV1000,OS234567,2023-03-25,2028-03-25,Active,1.2,1.5,FDA,2023-03-01,2024-03-01,2025-03-01,2023-03-25,2028-03-25,2023-03-01,6000.00,Orthopedics
12,CardioTech Xpress,ECG Machine,CardioMed,CTX2000,CM567890,2023-04-30,2028-04-30,Active,1.5,2.0,CE Mark,2023-04-01,2024-04-01,2025-04-01,2023-04-30,2028-04-30,2023-04-01,4000.00,Cardiovascular Devices
13,EchoScan 3000,Ultrasound Machine,UltraHealth,ES3000,UH123456,2023-05-05,2028-05-05,Active,2.0,2.5,FDA,2023-05-01,2024-05-01,2025-05-01,2023-05-05,2028-05-05,2023-05-01,9000.00,Diagnostic Imaging
14,GastroView Pro,Gastroscopy System,GastroTech,GVP1000,GT567890,2023-06-10,2028-06-10,Active,1.5,2.0,CE Mark,2023-06-01,2024-06-01,2025-06-01,2023-06-10,2028-06-10,2023-06-01,7500.00,Endoscopy
